focal,compound,birthyr,obyear,rank,infant?,attack_all,chase_all,threatcontact_all,threatnocontact_all,agg_in
bs9,a1,2003,2008,3,N,0,0,0,0,0
gk3,a1,1991,2007,1,Y,0,0,0,0,0
se8,a1,2001,2008,1,N,0,0,0,0,0
qq8,a1,2001,2008,3,N,0,0,2.23206,2.97608,5.20814
vd8,a1,2001,2008,3,Y,0,0,0.997506,1.99501,2.992516
qv5,a1,1996,2008,3,Y,0,0,0,2.23817,2.23817
sr8,a1,2001,2008,2,N,0,0,0,0,0
pk8,a1,2001,2008,2,Y,0,0,0,0.742988,0.742988
oz4,a1,1994,2008,1,N,0,0,0,0.745768,0.745768
hv5,a1,1996,2007,2,N,0,0,0,0,0
bp8,a1,2001,2008,1,N,0,0,0,0.746575,0.746575
oz6,a1,1999,2008,2,Y,0,0,0,0,0
cs5,a1,1996,2007,2,N,0,0,1.49802,0.749008,2.247028
us8,a1,2001,2008,2,Y,0,0,0,2.98779,2.98779
gc8,a1,2001,2008,3,N,0.748354,0,0,1.49671,2.245064
sb9,a1,2002,2008,2,N,0,0.747151,0.747151,0,1.494302
mv5,a1,1996,2007,3,Y,0,0,0,0,0
km6,a1,1998,2007,2,N,0,0.746269,1.49254,0,2.238809
jb8,a1,2001,2007,3,N,0,0,0,0,0
dq9,a1,2003,2008,1,Y,0,0,0,0,0
aj9,a1,2002,2008,3,Y,0,0,0,0,0
ph7,a1,1999,2008,2,Y,0,0,0.737318,0,0.737318
ku9,a1,2003,2007,1,Y,0,0,0,1.44575,1.44575
et6,a1,1998,2007,2,N,0,0,1.49207,0,1.49207
ck7,a1,2000,2007,1,Y,0,0,0,0,0
wt9,a1,2003,2008,2,Y,0,0,0,0.748662,0.748662
oj7,a1,2000,2007,1,N,0,0,1.48998,0,1.48998
jo7,a1,2000,2008,3,Y,0,0,0,1.45911,1.45911
te8,a1,2001,2007,1,Y,0,0,1.496,0,1.496
rq9,a1,2003,2008,2,Y,0,0,0,1.47969,1.47969
kj3,a1,1991,2007,2,Y,0,0,2.3233,0.774433,3.097733
um1,a1,1986,2007,3,Y,0.737572,0,0,0,0.737572
fw6,a1,1999,2007,3,Y,0,0,0,0,0
hc6,a1,1997,2007,1,N,0,0,0,0.745194,0.745194
rf5,a1,1995,2007,2,Y,0,0,0.742896,1.48579,2.228686
kw6,a1,1999,2007,2,Y,0,0,0,0,0
mk7,a1,2000,2008,3,Y,0,0.770753,0,1.54151,2.31226
wv8,a1,2002,2007,3,Y,0,0,0.743292,0,0.743292
sy9,a1,2003,2008,1,N,0,0,0.998502,0,0.998502
ik3,a1,1991,2008,3,Y,0,0,0,0.744981,0.744981
nv8,a1,2002,2008,3,N,0,0,0,0,0
le7,a1,1999,2007,1,N,0,0,1.49674,0,1.49674
cm8,a1,2001,2008,3,Y,0,0,0.741647,1.48329,2.224937
uj5,a1,1995,2008,3,N,0,0,2.22414,0,2.22414
mh5,a1,1995,2007,1,Y,0,0,0,1.4855,1.4855
le9,a1,2002,2008,1,N,0,0,0.743283,0,0.743283
go4,a1,1993,2007,1,Y,0.741372,0,0,0,0.741372
gj9,a1,2002,2008,3,N,0,0,0,0,0
oi3,a1,1991,2007,2,N,0,0,0.741987,0.741987,1.483974
fl9,a1,2002,2008,3,N,0,0,0,0,0
wc3,a1,1990,2008,3,Y,0,0,0,0.74758,0.74758
mm3,a1,1991,2008,3,Y,0,0,0.737046,0.737046,1.474092
rc9,a1,2002,2007,3,N,0,0,0,0,0
zz9,a1,2003,2008,3,Y,0,0,0,0,0
lb7,a1,1999,2008,1,Y,0,0,0.745944,0,0.745944
cb6,a1,1997,2007,2,N,0,0,0,0,0
cj9,a1,2002,2008,1,N,0,0,0,1.49549,1.49549
ru5,a1,1996,2007,1,Y,0,0,0,0,0
me6,a1,1997,2008,3,Y,0,0,0,0.746287,0.746287
fi9,a1,2002,2008,2,Y,0,0,0,0.744121,0.744121
pl8,a1,2001,2008,3,Y,0,0.742988,0,0.742988,1.48598
on7,a1,2000,2008,2,N,0,0,0.747533,1.49507,2.242603
ti8,a1,2001,2008,2,Y,0,0,0,0,0
de8,a1,2001,2007,1,N,0,0,0,0,0
sh1,a1,1985,2007,2,N,0,0,0.748288,2.24486,2.993148
rm7,a1,2000,2008,2,Y,0,0,0,0,0
as8,a1,2001,2007,3,N,0,0,0,0,0
py8,a1,2002,2007,1,N,0,0,0.74664,2.23992,2.98656
np9,a1,2003,2008,1,Y,0.741904,0,2.96762,3.70952,7.41904
im8,a1,2001,2008,2,Y,0,0,0,0.995553,0.995553
ie6,a1,1997,2008,2,Y,0,0,0,2.23833,2.23833
ts3,a1,1992,2007,2,Y,0,0,0,0,0
tf6,a1,1997,2007,2,N,0,0,0,0.747384,0.747384
